mode,source_risk,n,success_rate,valid_rate,mean_l0,mean_l1,mean_l2,mean_steps,mean_runtime_seconds,mean_final_objective
constrained,High,6,1.0,1.0,16.0,21.11853090922038,5.849163810412089,70.33333333333333,0.020721666500624753,1.1267889241377513
constrained,Medium,78,1.0,1.0,15.820512820512821,7.300881974972212,1.9795060830238538,18.28205128205128,0.005384801845978542,0.7993847731596384
unconstrained,High,6,1.0,0.0,19.0,18.481683095296223,3.947424292564392,33.666666666666664,0.004970770833703379,1.2982401152451832
unconstrained,Medium,78,1.0,0.0,19.0,6.637253067432305,1.3712945030285761,9.948717948717949,0.0020604829232046865,0.9704329398198005
overall,Medium+High,168,1.0,0.5,17.416666666666668,7.88557034127769,1.9056069900592167,16.821428571428573,0.004374326404775361,0.90830926100413
